Feature,MeanAbsSHAP,MeanAbsLIME
E171,309884.13749046414,0.0029964865040357645
E62,300396.10530996765,0.002141381259718539
E285,249846.47804323156,0.002945402725569835
E147,230175.7284115415,0.0025251399726857735
E362,200832.64741977313,0.002751708326533127
E299,169930.0164950634,0.0025602977427713752
E101,161005.81447029265,0.002473500245033882
E135,134319.9654963863,0.002471132450383415
E454,133223.15199049073,0.002663851601692631
E170,131918.4400370108,0.002311608206122669
E137,128671.66233359902,0.0024387415064526957
E148,124252.60885612479,0.0024925737873963483
E425,121673.80005811805,0.002382132962543016
E92,107766.44018634156,0.0025196739412938155
E64,90097.0522172829,0.0024771674794047075
E143,87926.23508472367,0.0025791182674558683
E164,72047.6686131695,0.0025117236408651383
E224,64705.45426570622,0.002356033026489012
E276,63311.91663279137,0.002283032441367722
E404,51772.388955152666,0.0025206942420031536
E417,50257.307694245894,0.0025442508432234274
E150,46429.81271808884,0.0025688205559118195
E91,46222.87349079207,0.002534258921620437
E248,41959.90987782231,0.002515393928332612
E174,41739.592050772364,0.0023764273685890113
E86,38046.875276940875,0.0024228174708118074
E272,36396.35849011901,0.0026309759463706557
E110,33605.19240936495,0.0027602376956818355
E160,32974.30771703032,0.002508505863279862
E66,32217.41057983734,0.002678360077745799
E420,29745.890404351754,0.0024553352643551067
E342,26863.26249010067,0.0024402898023622444
E103,26754.070755559605,0.0024004428892060057
E119,25583.935545129978,0.002607425576629883
E192,23834.67404786219,0.0025517069586944345
E163,23402.725816103033,0.0023098376431911977
E209,18734.165019440537,0.002515334296606106
E424,16722.900279600803,0.0025860437662060948
E116,15484.658740099778,0.00242242875807477
E129,14276.28973545569,0.0024060796749552603
E377,14231.719484358131,0.002275880696636671
E85,14217.800569938869,0.0028021976838088713
E152,13595.620483509767,0.002502987838066352
E79,13259.45077649815,0.002387817692188373
E54,9729.997400474555,0.0023768577910172005
E254,8732.530460931372,0.002498787779267252
E375,8577.249649798965,0.002540648538949709
E475,8521.99632254081,0.002590637110549826
E98,7774.4580665674985,0.0024943976074836677
E378,7673.686760203106,0.002812294181020184
E60,7437.738585614039,0.002728488348550118
E80,6058.185490946073,0.002670069101504382
E131,5873.500171709194,0.002652432596247155
E108,5231.87562196138,0.0024926937233947545
E154,5148.363219628795,0.0025594542407433533
E106,4756.206042368966,0.0023887209576623674
E97,4504.657895585417,0.0025192799310082116
E250,4307.526962373284,0.0024261123461092105
E83,3592.3496963116586,0.002701160640093625
E165,3574.5148280736944,0.0024134793985913857
E114,2931.6414829816217,0.0028623060191668255
E133,2317.8964042616717,0.002860326224717459
E151,2212.5233189655955,0.00288049744272313
E93,2015.2798653417524,0.0025303877460260416
E136,1859.4233496630677,0.002530016538559522
E99,1680.325439904094,0.002800306516944839
E120,1670.2376442600976,0.00248137776562219
E274,1181.8347263369346,0.002985304032423118
E105,1112.3757423629766,0.002751675329412241
E84,1053.309001622906,0.002494591853642544
E182,1035.1738429433162,0.002365499489451815
E144,818.0533915108241,0.0024832030032795305
E492,748.9898530823443,0.002807089527065263
E405,711.6532722483722,0.0023747243712641157
E368,696.7164657984596,0.002715045015031232
E270,641.2422517383733,0.002756346123251563
E104,635.0940887797589,0.0027956274191075115
E70,613.9192060843102,0.0023619822323880757
E376,448.90526638947745,0.0024029566265118827
E87,401.75513263026676,0.0027298192691043947
E112,368.8858152782733,0.002668416802166017
E204,262.0327557632879,0.0028143193128526956
E266,233.2093271241767,0.0025097004137459157
E179,220.48521230345415,0.0022521164871364533
E117,214.78498852386386,0.0026290022994709806
E216,213.15344067889865,0.0025029469916108154
E113,156.18327386740765,0.0023249468206679945
E203,85.74313316468428,0.002545573724604767
E278,81.59916322346078,0.0025914284666929553
E443,71.31015316067334,0.0027341476524801217
E115,70.97180513246035,0.0026090416309071853
E193,63.871629593712676,0.0026229332121510307
E132,60.366737300678004,0.0027455916489664218
E128,55.72471273003619,0.0022445087343134097
E433,37.73048036433481,0.0025583503491419346
E485,32.93722282614463,0.002350302497193771
E82,32.89525133354877,0.0030979582943304633
E126,30.03708400759896,0.002507023431296569
